"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","cilium movement","59/674","236/16231",0.25,6.02040059347181,16.1706893404202,7.25938456753343e-30,2.5190064449341e-26,2.5190064449341e-26,"SPAG8/CFAP73/CATSPERD/SPEF1/DNAI1/HOATZ/CFAP70/CFAP100/CFAP161/DNAI3/CFAP47/CFAP65/TTC29/CLXN/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/RSPH4A/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/HYDIN/TEKT4/DRC5/ODAD2/EPPIN/CFAP77/DNAH9/TMEM232/DRC1/ROPN1L/PACRG/SPAG6/CFAP43/EFHB/CFAP91/LRRC46/EFHC2/ENKUR/TEKT1/DNAH6/DNAI2/DNAAF1/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276/GAS2L2/CFAP46",59
"GO:0060294","cilium movement involved in cell motility","49/674","209/16231",0.23444976076555,5.64592591540897,14.0706234832255,1.27772578558397e-23,1.74228217822626e-20,1.74228217822626e-20,"SPAG8/CATSPERD/DNAI1/HOATZ/CFAP161/DNAI3/CFAP47/CFAP65/CLXN/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/RSPH4A/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/TEKT4/DRC5/ODAD2/EPPIN/CFAP77/DNAH9/TMEM232/DRC1/ROPN1L/PACRG/CFAP43/EFHB/LRRC46/EFHC2/ENKUR/TEKT1/DNAH6/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276/GAS2L2/CFAP46",49
"GO:0001539","cilium or flagellum-dependent cell motility","49/674","211/16231",0.232227488151659,5.59241002995486,13.9758075242799,2.00839444175937e-23,1.74228217822626e-20,1.74228217822626e-20,"SPAG8/CATSPERD/DNAI1/HOATZ/CFAP161/DNAI3/CFAP47/CFAP65/CLXN/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/RSPH4A/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/TEKT4/DRC5/ODAD2/EPPIN/CFAP77/DNAH9/TMEM232/DRC1/ROPN1L/PACRG/CFAP43/EFHB/LRRC46/EFHC2/ENKUR/TEKT1/DNAH6/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276/GAS2L2/CFAP46",49
"GO:0060285","cilium-dependent cell motility","49/674","211/16231",0.232227488151659,5.59241002995486,13.9758075242799,2.00839444175937e-23,1.74228217822626e-20,1.74228217822626e-20,"SPAG8/CATSPERD/DNAI1/HOATZ/CFAP161/DNAI3/CFAP47/CFAP65/CLXN/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/RSPH4A/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/TEKT4/DRC5/ODAD2/EPPIN/CFAP77/DNAH9/TMEM232/DRC1/ROPN1L/PACRG/CFAP43/EFHB/LRRC46/EFHC2/ENKUR/TEKT1/DNAH6/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276/GAS2L2/CFAP46",49
"GO:0030317","flagellated sperm motility","43/674","192/16231",0.223958333333333,5.39327553165183,12.7460816034615,4.84275674109019e-20,2.80072764859716e-17,2.80072764859716e-17,"SPAG8/CATSPERD/DNAI1/HOATZ/CFAP161/CFAP47/CFAP65/CLXN/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/TEKT4/DRC5/ODAD2/EPPIN/CFAP77/TMEM232/DRC1/ROPN1L/PACRG/CFAP43/EFHB/LRRC46/EFHC2/ENKUR/TEKT1/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276",43
"GO:0097722","sperm motility","43/674","192/16231",0.223958333333333,5.39327553165183,12.7460816034615,4.84275674109019e-20,2.80072764859716e-17,2.80072764859716e-17,"SPAG8/CATSPERD/DNAI1/HOATZ/CFAP161/CFAP47/CFAP65/CLXN/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/TEKT4/DRC5/ODAD2/EPPIN/CFAP77/TMEM232/DRC1/ROPN1L/PACRG/CFAP43/EFHB/LRRC46/EFHC2/ENKUR/TEKT1/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276",43
"GO:0007018","microtubule-based movement","63/674","465/16231",0.135483870967742,3.26266870872021,10.3041688941528,7.26442367606164e-17,3.60107859370484e-14,3.60107859370484e-14,"SPAG8/CFAP73/CATSPERD/DYNLT5/SPEF1/DNAI1/HOATZ/CFAP70/CFAP100/CFAP161/DNAI3/CFAP47/CFAP65/TTC29/CLXN/DYNLRB2/CFAP45/TAC4/DRC7/SPMIP6/TEKT2/SPMIP8/RSPH4A/DNAH12/ARMC3/ROPN1/CFAP52/CFAP107/TEKT3/DNAAF6/DNAH11/HYDIN/TEKT4/DRC5/ODAD2/EPPIN/MGARP/CFAP77/DNAH9/TMEM232/DRC1/ROPN1L/PACRG/SPAG6/CFAP43/EFHB/CFAP91/LRRC46/EFHC2/ENKUR/TEKT1/DNAH6/DNAI2/DNAAF1/DYDC1/CFAP141/CFAP210/ODAD1/RSPH1/CFAP276/NETO1/GAS2L2/CFAP46",63
"GO:0035082","axoneme assembly","25/674","90/16231",0.277777777777778,6.68933399274646,11.2653255871121,1.68584282603087e-14,7.31234325790889e-12,7.31234325790889e-12,"CFAP73/SPEF1/DNAI1/HOATZ/CFAP100/DNAI3/CFAP47/CFAP65/CLXN/DRC7/RSPH4A/ZMYND10/DNAH12/DNAAF6/HYDIN/ODAD2/DRC1/CFAP43/CFAP91/DNAI2/DNAAF1/ODAD1/RSPH1/CFAP46/CFAP74",25
"GO:0001578","microtubule bundle formation","26/674","119/16231",0.218487394957983,5.26152656908461,9.71158771071388,2.31307297669247e-12,8.91818136569206e-10,8.91818136569206e-10,"CFAP73/SPEF1/DNAI1/HOATZ/CFAP100/DNAI3/CFAP47/CFAP65/CLXN/DRC7/RSPH4A/ZMYND10/DNAH12/DNAAF6/HYDIN/ODAD2/DRC1/CFAP43/CFAP91/DNAI2/DNAAF1/ODAD1/RSPH1/GAS2L2/CFAP46/CFAP74",26
"GO:0070286","axonemal dynein complex assembly","13/674","37/16231",0.351351351351351,8.46110353677119,9.4569946548036,1.38019721786753e-09,4.78928434600033e-07,4.78928434600033e-07,"CFAP73/DNAI1/CFAP100/DNAI3/CLXN/ZMYND10/DNAH12/DNAAF6/ODAD2/DRC1/DNAI2/DNAAF1/ODAD1",13
