"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010817","regulation of hormone levels","42/399","463/16231",0.0907127429805616,3.69012163237467,9.32291927676246,2.57624717387645e-13,7.99409498053864e-10,7.50147767445744e-10,"AKR1B10/BMP6/RIMS2/FGA/UGT1A6/BRSK2/CHGA/HSD3B1/UGT1A10/INHA/TACR3/ADH7/AKR1C4/ADH4/PCSK1/AKR1C1/AKR1C8/CYP11A1/AKR1C3/KLK6/PCSK2/NMB/CES1/IRS2/ALDH1A1/ERO1B/ADRA2C/ABCC8/ADH1C/KCNK16/UGT1A7/KCNK9/AKR1B15/PTPRN/RFX6/GALR1/GAL/SNAP25/AKR1C2/UGT1A1/CEL/TAC1",42
"GO:0120254","olefinic compound metabolic process","23/399","158/16231",0.145569620253165,5.92165540433362,9.86890778750823,6.55430197359739e-12,1.01689995120363e-08,9.54235882821215e-09,"AKR1B10/BMP6/CYP4F3/EPHX1/HSD3B1/ADH7/AKR1C4/ADH4/AKR1C1/CYP11A1/AKR1C3/CYP4F11/CES1/CYP4F8/ALDH1A1/ELOVL2/ADH1C/AKR1B15/CYP4F2/AKR1C2/CEL/GSTA1/PLA2G10",23
"GO:0042180","ketone metabolic process","25/399","194/16231",0.128865979381443,5.2421646900757,9.43636306996187,1.23815091013446e-11,1.28066075804908e-08,1.2017430501447e-08,"AKR1B10/BMP6/CYP4F3/UGT1A6/HSD3B1/UGT1A10/CBR1/AKR1C4/ADH4/AKR1C1/CYP11A1/AKR1C3/CYP4F11/CES1/CYP4F8/IRS2/PPARGC1A/KYNU/CBR3/UGT1A7/NQO1/AIFM2/CYP4F2/AKR1C2/UGT1A1",25
"GO:0042445","hormone metabolic process","25/399","206/16231",0.121359223300971,4.93679587317809,9.02724657175035,4.67408975106108e-11,3.62592512438563e-08,3.40248601449572e-08,"AKR1B10/BMP6/UGT1A6/HSD3B1/UGT1A10/ADH7/AKR1C4/ADH4/PCSK1/AKR1C1/AKR1C8/CYP11A1/AKR1C3/KLK6/PCSK2/CES1/ALDH1A1/ERO1B/ADH1C/UGT1A7/AKR1B15/GAL/AKR1C2/UGT1A1/CEL",25
"GO:0042373","vitamin K metabolic process","8/399","13/16231",0.615384615384615,25.0333526123,13.7614819124937,1.43771800744902e-10,8.92247795422863e-08,8.37265123036792e-08,"CYP4F3/CBR1/CYP4F11/CYP4F8/CBR3/NQO1/AIFM2/CYP4F2",8
"GO:0009636","response to toxic substance","24/399","233/16231",0.103004291845494,4.19013198231631,7.78630806429197,3.34510645445941e-09,1.72997755469792e-06,1.62337175571118e-06,"AKR1B10/CPS1/EPHX1/SLC7A11/UGT1A10/ADH4/ABCB6/CES1/ALDH1A1/MTARC1/TXN/SLC47A2/GPX2/UGT1A7/SRXN1/NEFL/NQO1/MUC2/AMBP/AIFM2/GSR/S100A9/TXNRD1/GSTA1",24
"GO:0016101","diterpenoid metabolic process","15/399","89/16231",0.168539325842697,6.85604460589676,8.79424428295354,4.05179927219717e-09,1.79610473451826e-06,1.68542400356472e-06,"AKR1B10/ADH7/AKR1C4/ADH4/AKR1C1/AKR1C3/CES1/ALDH3A2/ALDH1A1/ADH1C/UGT1A7/LRP8/AKR1B15/UGT1A1/CEL",15
"GO:0098754","detoxification","19/399","151/16231",0.125827814569536,5.11857458215074,8.07179648597244,5.61164488671733e-09,2.17661676043548e-06,2.04248787061028e-06,"AKR1B10/UGT1A10/ADH4/ABCB6/ALDH1A1/MTARC1/TXN/SLC47A2/GPX2/UGT1A7/SRXN1/NQO1/MUC2/AMBP/AIFM2/GSR/S100A9/TXNRD1/GSTA1",19
"GO:0001523","retinoid metabolic process","14/399","85/16231",0.164705882352941,6.70010319917441,8.36445260128525,1.82422156356888e-08,6.2895105686158e-06,5.90193426880657e-06,"AKR1B10/ADH7/AKR1C4/ADH4/AKR1C1/AKR1C3/CES1/ALDH1A1/ADH1C/UGT1A7/LRP8/AKR1B15/UGT1A1/CEL",14
"GO:0034308","primary alcohol metabolic process","15/399","100/16231",0.15,6.10187969924812,8.12413974944317,2.10283919655511e-08,6.52511002691051e-06,6.12301546446594e-06,"AKR1B10/BMP6/ADH7/AKR1C4/ADH4/AKR1C1/CYP11A1/AKR1C3/CES1/ALDH3A2/ALDH1A1/ADH1C/AKR1B15/AKR1C2/CEL",15
"GO:0006721","terpenoid metabolic process","15/399","108/16231",0.138888888888889,5.64988861041493,7.69678432653136,6.07785664101883e-08,1.71450810518922e-05,1.60885557465402e-05,"AKR1B10/ADH7/AKR1C4/ADH4/AKR1C1/AKR1C3/CES1/ALDH3A2/ALDH1A1/ADH1C/UGT1A7/LRP8/AKR1B15/UGT1A1/CEL",15
"GO:0023061","signal release","30/399","413/16231",0.0726392251815981,2.95490542336471,6.38855751222691,1.26325267610179e-07,3.26656087828656e-05,3.06526674506332e-05,"BMP6/RIMS2/FGA/BRSK2/CHGA/UNC13A/INHA/TACR3/SYP/CHRNB2/CHRNA4/HRH3/NMB/IRS2/SYT4/CPLX2/ADRA2C/ABCC8/KCNK16/NRXN1/KCNK9/RPH3A/PTPRN/RFX6/GALR1/GAL/SYT5/SNAP25/TAC1/PLA2G10",30
