"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,0.689044245784247,3.47612164071613,1e-10,3.59644496221734e-10,8.47548990129656e-11,4456,"tags=70%, list=19%, signal=57%","3417/1355/6391/4720/1892/517/4719/2109/516/481/4710/7417/9377/4702/1352/506/23203/4329/1327/2806/37/8402/4835/3418/10935/2271/1337/1537/2821/1738/7384/4714/34/5250/4704/6832/9551/11331/10440/518/4259/8050/5162/7381/4191/64963/27089/1632/1666/7419/7388/4709/498/10063/4707/6834/3032/10989/38/3313/1351/9868/509/788/26519/2230/1329/50/4706/4696/4190/10476/3420/1350/514/8803/2395/51318/6183/7385/10651/2108/26520/54205/1347/9167/1349/80273/4711/2746/513/521/64960/10128/1743/9131/64981/4722/1340/29088/56993/3030/4698/3028/8802/51606/5160/515/4717/1345/7386/1891/4694/6390/81689/10884/56945/5018/9550/1431/36/529/4697/10632/4724/4942/293/539/1737/26517/10975/9617/4695/23479/92609/533/4723/3945/6389/4728/522",NA
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.664411447834995,3.35185298518832,1e-10,3.59644496221734e-10,8.47548990129656e-11,6178,"tags=78%, list=27%, signal=58%","4953/7203/708/28973/5036/9377/3068/7531/2806/7284/3329/5685/10935/1537/52/10213/3336/6150/5250/5682/6627/1503/4999/6128/11331/2547/10728/4176/11137/10528/8669/7419/51020/2058/4830/6626/1854/10155/9868/51491/5713/5901/10575/3615/3735/3475/5707/5111/4706/26354/5887/3376/6175/3183/10574/2079/10907/57819/9221/10987/10856/6187/9184/6741/65005/23435/6632/6742/3608/6418/9188/56910/1933/9045/6141/3015/6434/5245/7555/8894/5984/3192/5691/6637/5902/7965/3837/7514/26156/5690/6723/7411/6633/10054/11335/6426/2091/328/5706/11260/8664/6188/7332/6732/6059/6240/1017/5478/4869/6146/5093/8318/3838/1207/23016/890/55651/5496/10971/1965/991/10236/6193/10549/6428/26121/10921/6194/4085/4175/5714/6950/5704/6427/4609/3178/3939/22948/7913/5425/821/1478/1977/8662/5688/6629/8886/3181/4173/5709/7416/10399/3184/23450/54107/3326",NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.571311910668877,-2.8533496217278,1e-10,3.59644496221734e-10,8.47548990129656e-11,3550,"tags=54%, list=15%, signal=46%","2331/25890/2619/56937/1462/2697/50863/633/6385/3693/6422/7070/22795/1809/2517/2014/667/5159/1303/4323/8076/7456/960/1290/11010/1281/7412/59/2199/131578/6876/6424/7057/6678/7045/3956/9353/800/25878/3908/1842/6586/4035/1893/1289/6445/6387/3487/11167/7168/871/7049/374/10516/355/1292/1601/1301/2200/5376/10398/1277/10085/7058/4256/1278/1307/4060/5806/5396/3685/6372/2335/5021/1311/3673/4907/6382/5118/5654/1293/1647/4313/1634/7431/4853/2191/4148/2006/4016/4638/30008/7040/7980/2316/2192/6444/3491/2201/7078/5645/8572/290/1009/1296/3690/3371",NA
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.562015864689274,2.8352831064551,1e-10,3.59644496221734e-10,8.47548990129656e-11,6994,"tags=64%, list=30%, signal=45%","25842/5036/84316/10248/6470/6628/3930/1503/10797/4999/11340/54962/2547/4176/10528/29089/4830/9125/1854/5983/5901/5111/1163/83461/23468/9221/9972/1033/10664/983/9212/7112/7157/3015/6434/7374/3149/5347/9918/57405/6749/5902/6117/8914/5885/7514/3159/1029/27338/29127/6426/10635/79019/10606/9700/51155/8726/23594/701/79075/1434/55646/9238/332/9126/84844/11004/3014/3838/5558/5931/1111/6241/1965/991/4292/1164/10535/10549/23047/10527/56655/5982/55635/4085/4175/7884/993/7037/6427/10615/4609/7083/4436/10460/6790/10212/7913/5425/81611/3070/6839/147841/3161/9133/6119/4173/9837/55143/9787/3184/4605/23649/24137/79077/4288/9319/11051/5889/1062/79733/9833/146909/29893/9232/83463/55723/4172",NA
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",48,0.708862210739707,2.80034259260512,1e-10,3.59644496221734e-10,8.47548990129656e-11,2484,"tags=52%, list=11%, signal=47%","2936/2539/2730/1728/9588/7295/7296/5052/2729/4720/2512/4257/4363/140809/6647/4710/10587/51022/10542/2745/2878/10494/55829/4482/5524",NA
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",154,0.565379860128364,2.70428027994896,1e-10,3.59644496221734e-10,8.47548990129656e-11,2659,"tags=38%, list=12%, signal=34%","873/874/9588/4199/7358/3417/2052/4953/218/10961/224/216/6391/1892/2194/126/4128/8801/2027/131076/37/131/2271/5092/1738/34/84693/23710/2820/5162/4191/1632/1666/5805/3032/223/1056/10455/387893/2954/50/4190/3420/8803/3422/51478/7390/26275/39/23417/1743/3015/1149/23173/549/79602/226/3028/8802",NA
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.654722258855352,2.67971927370098,1e-10,3.59644496221734e-10,8.47548990129656e-11,3926,"tags=60%, list=17%, signal=50%","5036/705/3329/29078/80324/64216/6652/3336/92856/6832/56915/10528/10196/51491/26354/9221/54663/23481/5245/83743/23223/79050/51154/7374/51388/5347/10199/7965/6723/11335/23160/10514/9238/4869/10244",NA
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",200,0.5212582455726,2.62966722227588,1e-10,3.59644496221734e-10,8.47548990129656e-11,6000,"tags=57%, list=26%, signal=43%","2936/2539/4199/7296/3417/5052/6016/23657/2729/2181/516/10962/2717/51377/27101/5684/5860/6533/3329/5693/5685/6652/27230/2821/10213/3336/8878/11333/10797/23753/10135/9521/3145/2597/2058/8140/6319/10989/3313/56902/488/3309/26136/2745/3475/8624/10452/3422/7184/7167/10197/6745/10987/26747/57761/6510/6472/81873/8894/7374/79602/5347/226/4793/5701/80777/6117/31/10061/9695/2965/5706/7494/23478/29968/5478/51569/112399/10622/6184/5861/3308/6241/7277/30001/5719/5718/10963/29110/4802/6513/993/4048/2232/5704/7037/3488/7436/5033/51382/6790/3939/10212/5352/6781/6917/821/27346/5464/1717/4173/5163/3992/2286/1718",NA
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",197,0.49593611729191,2.46732105759741,1e-10,3.59644496221734e-10,8.47548990129656e-11,4111,"tags=44%, list=18%, signal=36%","6888/4199/3417/27069/7086/10400/6391/1892/2109/6647/84522/400916/415116/5860/5004/10935/1337/1537/949/1738/7384/34/51805/58472/6623/10140/84919/134147/4259/57017/2820/4191/27089/1666/217/23786/1468/10989/10243/1147/65124/1351/57678/50/4706/4023/29103/26275/11194/1349/80273/2101/6510/55037/9131/2878/4722/8694/1149/29088/977/7316/4698/79602/29979/226/10113/6817/23788/8802/84274/25979/7532/1891/6390/8884/6239/1431/10010/35/1376/1629/539/1737/2184/10975",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",199,-0.485019028805028,-2.42381553813678,1e-10,3.59644496221734e-10,8.47548990129656e-11,4653,"tags=43%, list=20%, signal=34%","669/163351/54625/3431/7130/22914/8651/11274/10379/9934/10437/6775/3106/80830/3695/4790/79132/5770/3662/5683/55024/3135/1439/2357/3717/81030/710/3663/8869/684/7903/3620/3566/55016/969/219285/3437/29126/7412/942/5743/4939/85441/57169/3394/3574/23586/10875/129607/3587/7378/3108/10906/834/6347/355/4600/64135/3937/4599/26053/3429/55601/5371/3433/9830/10628/958/4615/4261/3434/54739/10561/8082/3117/3123/972/4061/8743/10964/55008/91543/25939/3455/3383",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",199,-0.483858719652526,-2.4180170535705,1e-10,3.59644496221734e-10,8.47548990129656e-11,4569,"tags=42%, list=20%, signal=34%","5791/7130/7133/3624/4973/27074/1316/3586/2015/19/2769/6504/929/4790/3037/3575/1318/728/4049/3460/131566/23166/1236/5996/2357/2014/91/5724/9180/4323/3454/684/3566/8578/969/6402/5739/8685/3587/3553/1536/3949/6347/4481/3937/10630/1880/5008/196/9034/1441/5027/719/9435/23533/6372/64127/114548/2719/10125/958/8671/5734/3732/29933/5732/3759/4061/8743/3554/6361/558/3696/1435/6098/3383/7097/3738/23601/2069/3690/4693/6376",NA
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,0.510977282824363,2.37136320413559,4.61094666109087e-10,1.53698222036362e-09,3.62209832877099e-10,4989,"tags=50%, list=22%, signal=40%","468/6464/25804/51013/9775/27230/10797/56915/10528/28972/8140/1978/3313/55272/54512/3309/1163/23404/3376/79094/5832/7184/9221/6745/3484/8614/22926/27257/10113/1051/58477/8815/8602/9797/60559/9695/1736/11260/7494/5073/23478/29968/4869/3014/1054/55651/1965/50628/30001/1662/1639/64924/7534/6208/4801/1981/6734",0.814035837847908
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,-0.541585721257429,-2.36149108142616,1.98164020084574e-09,5.95490956542023e-09,1.40335182145361e-09,4676,"tags=49%, list=20%, signal=40%","1438/7133/5967/8651/10379/929/3594/5770/3563/3725/3460/7124/1439/4050/91/23765/64109/9180/3454/960/3566/3574/2/5320/3553/3572/355/55540/3597/1441/1271/23533/4615/7297/3676/56034/7040/3554/3588/1435/1437/7097/3690",0.774939030136436
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",150,0.48208979750246,2.32816406015672,1.00700458942085e-10,3.59644496221734e-10,8.47548990129656e-11,6948,"tags=58%, list=30%, signal=41%","30833/9328/353/51082/3704/2958/7251/10302/5439/8721/8086/4830/10063/6834/1854/4833/6895/552900/5983/25874/7372/5437/3615/1716/6878/5111/51251/27343/7936/10623/29901/5557/64976/7157/6880/11130/30834/5984/9533/10134/53343/2071/6749/5436/5440/1479/2237/10959/1603/2965/5888/5985/5430/51160/6431/2967/11047/9978/51497/10189/404672/56655/5982/50808/8480/10946/10978/23204/6884/2067/57804/10289/55290/6119/2959/23649/4799/22916/11051/6883/51292/2987/4832/978/6829/5893/3251",0.839088935621274
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",197,0.46264255965165,2.3016829986137,1e-10,3.59644496221734e-10,8.47548990129656e-11,2353,"tags=28%, list=10%, signal=25%","873/5226/2936/1066/1728/7358/8644/3417/2052/8942/1646/22949/218/2729/10400/2651/645/1244/126/51181/6898/4128/1644/6533/64087/131/26007/52/5372/23710/7132/10728/9536/3273/217/5805/488/223/3735/50/54498/2643/10776/5909/26061/2937/1312/3484/191/7009/384/6510/6472/128/10237",NA
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,0.458554633550919,2.30050494414033,1e-10,3.59644496221734e-10,8.47548990129656e-11,7477,"tags=61%, list=33%, signal=41%","4953/7371/3930/1841/85236/55872/8140/51659/387893/1163/5887/1950/6541/9221/5001/1033/9184/6632/4331/10664/983/9212/4751/1871/7112/9156/3015/6434/4691/5119/3149/5347/3192/3837/5885/7514/10419/7486/9055/3159/10024/27338/29127/5048/6426/9700/1736/1870/1058/51155/990/1874/23594/3832/332/1063/11004/3014/8318/8451/3838/890/5558/1111/991/1164/10432/23047/57082/22974/4085/10926/4175/993/81539/4212/9585/25/6427/10721/4609/4928/10460/6790/10212/9493/2176/2130/51203/6839/7290/3161/6421/9133/8317/3184/4605/3619/7272/23649/24137/4288/10762/1062/10293/1869/899/10592/9232/699/3799/4172/6491/51776/3925/7468/26271/10403/7153/3835/11065",NA
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",197,-0.424916551291151,-2.10346886561768,2.02466925224288e-09,5.95490956542023e-09,1.40335182145361e-09,4655,"tags=42%, list=20%, signal=33%","3059/917/3558/7535/3624/3586/8651/3702/6775/2149/3594/1234/10225/586/6363/3662/3135/2213/3460/7124/23166/3625/8477/959/7070/4050/2000/11184/3717/8915/3133/894/4065/3112/7903/3683/912/5199/3566/5788/942/3394/3574/6357/322/3553/3108/940/6347/355/3937/729230/10261/2268/3551/941/7454/3603/9466/114548/958/920/3122/3109/6688/3117/9450/3848/972/3689/4689/7040/2316/3111/43/1991/3455/1435/3383/7097/1956/2069",0.774939030136436
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,-0.471124767893989,-2.10275226802192,1.29434201483341e-06,3.40616319693004e-06,8.02706619482085e-07,8093,"tags=64%, list=35%, signal=42%","5610/3600/64108/4343/6737/23424/10581/94240/3627/83666/3665/51056/23070/85363/5359/55281/6773/11054/51667/567/6373/7453/8638/961/8519/54625/3431/27074/54809/11274/3107/10379/10437/79132/684/3566/219285/3437/6402/85441/3574/129607/10906/834/135112/64135/4599/3429/55601/9034/3433/9830/10628/7318/10561/972/4061/10161/10964/55008/91543/1435",0.643551836150722
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",198,-0.409380070613302,-2.02665866295087,2.86059061354877e-08,7.94608503763547e-08,1.87259819624214e-08,5088,"tags=42%, list=22%, signal=33%","7851/2254/1839/9945/51704/51311/7139/6662/1438/669/5328/7476/7133/3624/760/5649/8404/9935/8808/2150/2119/90865/7185/51199/5178/55273/2791/3575/3936/23531/131566/25960/10457/2207/2517/56172/2995/11184/11199/54677/894/7813/50856/7852/5743/3394/3783/7805/3587/28951/3553/10320/8829/5473/719/5396/2162/10205/4613/9358/2022/1794/2012/3673/10253/4319/951/2982/10221/7462/3481/4214/3689/10418/5284/2115/55107/4320/56729/220/1437/1848/2069/5327",0.73376198835648
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",198,-0.371068738955606,-1.83699629839822,4.68253988809957e-06,1.11489044954752e-05,2.62738422121332e-06,6057,"tags=42%, list=26%, signal=31%","4478/10458/6810/57463/58/8515/4318/5310/1364/1265/1297/8503/5818/6850/30835/3675/347902/7414/7216/9074/23562/3881/51148/88/10487/7533/51754/7185/57863/84552/51474/1462/257194/5880/999/7070/26119/4627/1001/51208/4892/4628/87/5788/29126/7412/942/140885/7791/7045/9353/5921/60/91624/2200/10398/357/5335/1307/143903/10205/25945/9672/2037/10290/7087/51466/1002/2771/3673/1308/4313/72/1825/57555/9379/3667/9459/9080/3383/1009/1956/6376",0.610526878385931
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",196,0.365692152728922,1.83329292436527,3.72940397978468e-06,9.32350994946169e-06,2.19720627596039e-06,5216,"tags=39%, list=23%, signal=30%","6888/2539/4199/7295/10058/3417/2729/6391/6647/8660/2806/10616/1738/22796/2585/29926/10456/10380/4191/2288/8996/1468/11319/8912/26035/223/10570/2683/3309/2745/638/9048/10165/4190/26355/10776/7167/6120/64077/983/7264/8614/2817/283/5315/3425/226/54982/4601/51728/55139/1058/25796/5214/5478/112399/839/1944/140838/7360/5516/30001/2673/9276/55635/5917/50808/501/4731/3069/8702/5704/7436/5033/6790/3939",0.627256739718528
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,-0.378455329120738,-1.80503897824214,3.32180625834891e-05,7.5495596780657e-05,1.77915184252484e-05,3924,"tags=32%, list=17%, signal=27%","10611/23576/4790/3037/2697/4092/4781/8821/7048/11044/5159/5581/9975/7799/1290/1281/54468/4325/8553/3949/7049/10516/23229/1601/4493/1301/5376/2535/1277/8829/1278/2202/5922/5578/5293/4052/6383/4853/2534/3667/6310/3491/861/11343/5737/3690",0.557332238758646
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",37,0.47436985608693,1.74201587675343,0.00391064313318382,0.00630748892449004,0.00148644172908726,4926,"tags=49%, list=21%, signal=38%","5126/3642/1113/6726/5122/6727/28972/10590/2308/6833/58477/23478/3170/57586/50674/2645/5063/5313",0.407017918923954
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",157,0.348228139451369,1.70067026751424,0.000171849012162202,0.00035801877533792,8.43717767609127e-05,5284,"tags=37%, list=23%, signal=29%","2052/1138/8804/4128/55937/51083/2907/694/6150/8878/3757/11333/10105/896/2288/5437/3485/5045/2643/5979/80273/7009/9188/6697/2878/5243/1175/3306/6474/10494/8694/226/5984/6817/80777/3192/8836/2237/3164/1017/10280/4072/1875/3014/1054/51706/6184/7277/6870/5504/10963/360/5702/682/7037/23542/388/7263",0.518848077743792
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,-0.337160371664025,-1.68491234188617,0.000106508390467812,0.000231539979277851,5.45654049132437e-05,4923,"tags=35%, list=21%, signal=28%","1839/9945/51561/6446/2354/5791/7130/5328/3624/4973/9322/1316/2150/19/6515/3280/10611/9592/4790/7185/22822/5341/3725/4780/3575/56937/3460/7124/6385/25976/5966/960/7280/1959/969/595/10938/5743/1958/25816/7071/23586/3553/8553/3949/374/6347/3572/64135/1880/941/9034/6776/3433/5806/1960/6372/5734/9308/8837/1647/10221/5209/3491/5055/1435/3383/1437/7097/3371",0.538434096309916
