"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,0.689664675371451,3.39808508537757,1e-10,3.84615384615385e-10,7.28744939271255e-11,4194,"tags=68%, list=18%, signal=56%","1355/3417/4720/6391/1892/2109/4719/1327/517/516/4702/481/2806/7417/4835/9377/4710/23203/1352/6832/37/8402/10935/2271/4329/10440/498/4714/1337/506/1537/1738/4704/7388/1632/4259/6834/50/7384/2821/4709/8050/64963/5250/11331/27089/4706/514/509/4191/3313/9868/518/513/56993/3420/4696/38/2108/26519/4707/2395/34/80273/1350/9551/9131/1351/10063/6183/1329/1666/1891/3028/5162/9167/7381/521/7419/10128/10476/10884/64981/4717/54205/788/1340/64960/26520/9550/3032/1349/4711/26517/7385/4722/8803/2746/4190/10989/51606/3418/10975/51318/515/3030/36/529/10651/6390/4695/1347/29088/4724/5018/581/533/4726/23479/4698/5160/4697/522/1743/1737/7386/6389/4728/539/4694/1431/8802/293/92609/5435/4723",NA
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.657048155233499,3.23737841940545,1e-10,3.84615384615385e-10,7.28744939271255e-11,5734,"tags=72%, list=25%, signal=55%","4953/7203/28973/708/5036/6150/2806/7284/3068/9377/3329/5685/3336/10935/2547/7531/10728/2058/5682/1537/10213/51491/52/4999/10528/6627/4830/3615/5250/6128/4176/11331/6626/4706/3376/9868/5901/6175/57819/3735/1503/3475/51020/9188/5887/10575/10155/11137/6632/5707/10987/10907/5713/6187/3015/7027/2079/5111/9221/8669/5691/3183/7419/10574/1854/1933/6141/9184/26354/3608/7411/6637/10856/6742/65005/4869/6418/328/8664/11335/55651/6723/5245/9045/26156/5984/6434/8894/5902/7555/6188/23435/56910/6741/11260/5690/7965/4085/6059/10549/5478/3192/7514/6633/6193/3838/2091/7332/890/821/10399/5425/10921/6194/23016/5496/5706/26121/9136/5688/3837/991/10054/6426/4175/6428/54107/1207/5714/6732/1977/6146/6240/23196/6629/5704/1965/51690/5093/10576/10971/8662/4174/22916/22948",NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.577529976724094,-2.99311306884244,1e-10,3.84615384615385e-10,7.28744939271255e-11,4737,"tags=62%, list=21%, signal=49%","10979/1893/64175/1284/50863/5999/2247/25890/4314/1490/3624/2331/2199/1004/2014/3693/50509/115908/960/3569/966/7128/7171/633/56937/4323/3908/2517/6586/1809/7057/1462/871/6422/5159/1290/5806/6382/7070/667/4035/3725/3956/4256/1281/1303/1842/6445/355/59/7456/7412/6876/1277/10085/1289/131578/2697/6678/6424/6591/2201/800/1292/3487/7058/3673/6372/11167/1601/1278/11010/4060/7049/1307/22795/7168/1301/3685/6387/10398/7045/2200/374/6695/1311/7431/4016/9353/2335/4313/2006/1293/4148/5654/25878/2619/4638/1647/5376/5396/4907/10516/2316/2192/5118/7040/1634/2191/7980/5645/30008/4853/8572/6444/290/3491/7078/8076/3690/1296/3371/1009",NA
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",154,0.585181484276805,2.78925300762926,1e-10,3.84615384615385e-10,7.28744939271255e-11,4016,"tags=45%, list=17%, signal=38%","873/874/9588/7358/4199/2052/3417/4953/218/10961/6391/1056/1892/224/216/2194/2027/37/131076/5092/2271/8801/4128/126/1738/1632/50/84693/2820/223/4191/3420/23417/3422/7390/34/51478/5805/387893/1666/158/1891/3015/3028/5162/131/4913/10455/2954/3032/26275/8803/4190/328/23173/23710/39/1376/5160/3155/1743/549/6389/210/84263/3158/728294/1149/8802/35",NA
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.551063928466503,2.71517765558029,1e-10,3.84615384615385e-10,7.28744939271255e-11,6802,"tags=60%, list=30%, signal=43%","25842/5036/84316/6628/6470/2547/3930/11340/29089/10248/4999/10528/4830/54962/4176/10797/1163/5983/5901/1503/9125/983/3015/5111/9221/1854/83461/7157/1033/9212/7112/23468/7884/5347/79019/6434/5902/57405/7374/3159/84844/10664/55646/1029/51155/9972/8914/9238/4085/10549/3149/23594/7514/9700/1434/10460/29127/10212/3838/332/5885/1164/79075/10606/11004/4292/5425/5931/701/9918/79077/6117/55635/27338/991/6426/4175/10535/3014/10635/1111/6749/7037/9837/83463/7083/1965/10615/5982/5558/4605/6839/9126/56655/23047/8726/9133/4174/3161/4436/10527/147841/6790/3070/6241/6427/11051/4609/993/9232/9787/64785/81611/29893/4173/1062/1031/9319/29980/5889/7913",NA
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.663161473556076,2.67099824340736,1e-10,3.84615384615385e-10,7.28744939271255e-11,4494,"tags=66%, list=20%, signal=53%","5036/64216/3329/6832/80324/3336/92856/51491/56915/705/10528/29078/23223/6652/10196/9221/23481/79050/51154/26354/51388/54663/4869/11335/6723/10244/5245/5347/10514/7374/9238/7965/83743/23160/10199/9136/79077/6573",NA
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",200,0.528563988750055,2.60431695428197,1e-10,3.84615384615385e-10,7.28744939271255e-11,5869,"tags=54%, list=26%, signal=41%","2936/2539/7296/4199/3417/5052/2729/6016/23657/2181/516/51377/10962/5693/27101/8878/2717/3329/5860/9521/5684/27230/5685/3336/23753/2058/6533/10213/3309/2821/3145/6319/10797/8624/3313/81873/6472/11333/8140/10135/3422/6652/3475/26136/2597/57761/10987/4793/56902/26747/6745/10197/488/10452/10989/6510/29968/80777/5347/31/8894/7374/10061/7184/7167/112399/5719/5478/5701/2745/9695/10212/51569/6184/10622/5033/821/5464/23478/5706/7277/9136/6781/4802/6117/226/3308/5606/5718/7037/6917/7494/5704/3992/1718/4048/30001/4860/79602/27346/5163/2965/2232/6513/6790/47/1649/6241",NA
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",48,0.686354959440156,2.58330379403226,1e-10,3.84615384615385e-10,7.28744939271255e-11,1715,"tags=46%, list=7%, signal=42%","2936/2539/9588/1728/7296/2730/7295/5052/2729/4720/2512/6647/4257/10587/140809/4710/4363/51022/10542/2878/5524/55829",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",199,-0.495520561411157,-2.57267743325466,1e-10,3.84615384615385e-10,7.28744939271255e-11,5595,"tags=52%, list=24%, signal=39%","3627/79132/64108/115361/23070/6737/567/26524/10392/1439/51735/23424/10437/3663/163351/9934/5770/8638/629/317649/3106/3695/715/669/54625/3662/3108/11274/3566/29126/22914/4790/684/10379/3569/7128/7130/94240/3394/55024/5610/7378/6773/80830/3431/55016/3620/2357/942/5743/6373/81030/85441/5683/4600/834/3587/10875/8869/355/3135/7412/7903/219285/10906/4261/57169/969/3937/3717/3123/3117/3574/3437/5371/9830/3429/710/972/958/6347/26053/23586/4939/4061/10628/4599/55601/3433/4615/129607/3434/64135/55008/8082/3455/3383/25939/10561/54739/91543/10964/8743",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",199,-0.490896329949694,-2.54866903309227,1e-10,3.84615384615385e-10,7.28744939271255e-11,4848,"tags=45%, list=21%, signal=36%","166929/2769/1839/2550/3269/929/4049/970/27074/7162/3454/6504/3624/1236/6361/3566/2014/8578/4790/684/131566/6402/3037/3569/5791/3575/2015/3586/7130/8685/728/4323/1316/5610/5724/5099/23166/19/2357/3553/9180/6373/5996/1318/4973/3949/1536/5027/5739/3587/8671/196/5008/91/9034/969/3937/114548/23533/6372/1880/64127/29933/9435/3732/10125/958/6347/3696/4061/719/4481/5734/5732/10630/3383/3759/1435/3738/558/6098/1441/7097/23601/3690/6376/8743/3554/4693/2069",NA
