"ID","NES_unadj","p.adjust_unadj","NES_adj","p.adjust_adj"
"HALLMARK_ADIPOGENESIS",2.46732105759741,3.59644496221734e-10,2.3295912177874,3.84615384615385e-10
"HALLMARK_ALLOGRAFT_REJECTION",-2.10346886561768,5.95490956542023e-09,-2.01763286765547,5.890038361733e-08
"HALLMARK_ANDROGEN_RESPONSE",1.11900793289414,0.264332452225159,0.940807570057889,0.623895759717315
"HALLMARK_ANGIOGENESIS",-1.59198291884515,0.0224020417152058,-1.68028301252769,0.0106633924359727
"HALLMARK_APICAL_JUNCTION",-1.83699629839822,1.11489044954752e-05,-1.71806527607607,0.000115086707368757
"HALLMARK_APICAL_SURFACE",-1.63401094001841,0.0119343340480895,-1.90374403628016,0.00109607906322999
"HALLMARK_APOPTOSIS",-1.4207847389716,0.0187023918630774,-1.42173366116518,0.0172516310178008
"HALLMARK_BILE_ACID_METABOLISM",1.16844295045815,0.163398692810458,1.26189546579085,0.113822958650545
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.51331717772482,0.0167866721840574,1.39652788400075,0.0340174399194836
"HALLMARK_COAGULATION",-1.63192161596752,0.00221101310334947,-1.53036031299417,0.00415951656105244
"HALLMARK_COMPLEMENT",-1.3996586476323,0.015219154830024,-1.44009265725846,0.006031693494606
"HALLMARK_DNA_REPAIR",2.32816406015672,3.59644496221734e-10,2.31239161728831,3.84615384615385e-10
"HALLMARK_E2F_TARGETS",2.8352831064551,3.59644496221734e-10,2.71517765558029,3.84615384615385e-10
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.8533496217278,3.59644496221734e-10,-2.99311306884244,3.84615384615385e-10
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.42261623481957,0.0122470062113978,1.31316741163032,0.0330999854590909
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.54790186813638,0.00221101310334947,1.37914836651452,0.0172516310178008
"HALLMARK_FATTY_ACID_METABOLISM",2.70428027994896,3.59644496221734e-10,2.78925300762926,3.84615384615385e-10
"HALLMARK_G2M_CHECKPOINT",2.30050494414033,3.59644496221734e-10,2.09959124347841,7.80646878396497e-09
"HALLMARK_GLYCOLYSIS",1.83329292436527,9.32350994946169e-06,1.87726113263053,3.64039131750687e-06
"HALLMARK_HEDGEHOG_SIGNALING",-1.42942258865246,0.0651405828274892,-1.43163631715522,0.0713188501206934
"HALLMARK_HEME_METABOLISM",1.25270748501409,0.0848107187936945,1.21670234243225,0.110233980513477
"HALLMARK_HYPOXIA",0.997554016957109,0.464185674269708,0.897173940443868,0.748406618167772
"HALLMARK_IL2_STAT5_SIGNALING",-1.51490858031832,0.00446112803252629,-1.54810977141535,0.00239380793081848
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-2.36149108142616,5.95490956542023e-09,-2.39769805667605,9.43181537481241e-09
"HALLMARK_INFLAMMATORY_RESPONSE",-2.4180170535705,3.59644496221734e-10,-2.54866903309227,3.84615384615385e-10
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.10275226802192,3.40616319693004e-06,-2.39811654014577,2.60025709264381e-09
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.42381553813678,3.59644496221734e-10,-2.57267743325466,3.84615384615385e-10
"HALLMARK_KRAS_SIGNALING_DN",-1.59317898291183,0.00104843396089006,-1.46132347667549,0.0053490602216706
"HALLMARK_KRAS_SIGNALING_UP",-2.02665866295087,7.94608503763547e-08,-2.14368631611375,3.3407960790587e-09
"HALLMARK_MITOTIC_SPINDLE",0.732028033012995,0.989561586638831,-0.805238139349173,0.946236559139785
"HALLMARK_MTORC1_SIGNALING",2.62966722227588,3.59644496221734e-10,2.60431695428197,3.84615384615385e-10
"HALLMARK_MYC_TARGETS_V1",3.35185298518832,3.59644496221734e-10,3.23737841940545,3.84615384615385e-10
"HALLMARK_MYC_TARGETS_V2",2.67971927370098,3.59644496221734e-10,2.67099824340736,3.84615384615385e-10
"HALLMARK_MYOGENESIS",-1.6431018645391,0.000661376481334396,-1.49256850811891,0.00415951656105244
"HALLMARK_NOTCH_SIGNALING",-1.34003405666189,0.117476956443159,-1.29179254649621,0.139194139194139
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.47612164071613,3.59644496221734e-10,3.39808508537757,3.84615384615385e-10
"HALLMARK_P53_PATHWAY",1.12723943546254,0.176137943821266,1.08190445869096,0.309324669938481
"HALLMARK_PANCREAS_BETA_CELLS",1.74201587675343,0.00630748892449004,1.79913559943367,0.00279373454905601
"HALLMARK_PEROXISOME",1.56765286548968,0.00531481057582334,1.67653440864853,0.00386876177701633
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.5462190759614,0.0138788471619094,1.36008708293694,0.0533937038144462
"HALLMARK_PROTEIN_SECRETION",1.44721195642596,0.0263501004333297,1.51876125129542,0.0122635290901413
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",2.80034259260512,3.59644496221734e-10,2.58330379403226,3.84615384615385e-10
"HALLMARK_SPERMATOGENESIS",1.39397854717068,0.025863692212264,1.47278368697735,0.0183528862215241
"HALLMARK_TGF_BETA_SIGNALING",-1.42009395986149,0.0631984423270788,-1.47779551534754,0.032184472565211
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.68491234188617,0.000231539979277851,-2.02725235327909,1.38950977215984e-07
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2.37136320413559,1.53698222036362e-09,2.2222422105199,9.07294400401731e-08
"HALLMARK_UV_RESPONSE_DN",-1.80503897824214,7.5495596780657e-05,-2.04525340939378,6.09348172576465e-07
"HALLMARK_UV_RESPONSE_UP",1.70067026751424,0.00035801877533792,1.777960380529,0.00014626924497434
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.07689442890078,0.35135582010582,0.946212193739887,0.571525577184246
"HALLMARK_XENOBIOTIC_METABOLISM",2.3016829986137,3.59644496221734e-10,2.30853413345375,3.84615384615385e-10
