"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","14/219","68/7838",0.205882352941176,7.36852001074402,8.94191338356062,3.78596993860622e-09,7.64436657120604e-07,7.64436657120604e-07,"2939/54578/2052/54575/873/131/127/1645/218/874/126/54577/54658/2938",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","30/219","327/7838",0.0917431192660551,3.28348204934858,7.15106278837397,6.6472752793096e-09,7.64436657120604e-07,7.64436657120604e-07,"7434/283869/887/6870/2834/1141/1137/11255/55879/399967/4828/797/1081/6751/200959/1138/7425/152/796/23620/4922/134864/4923/2562/80763/2555/2587/51083/2554/6863",30
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","11/219","55/7838",0.2,7.15799086757991,7.76953207702228,2.55958003499235e-07,1.96234469349413e-05,1.96234469349413e-05,"54578/3283/54575/1109/1645/340811/1583/8644/54577/1646/54658",11
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","8/219","28/7838",0.285714285714286,10.2257012393999,8.29088477151698,6.27485838757061e-07,3.6080435728531e-05,3.6080435728531e-05,"57016/5053/250/873/251/340811/8644/441282",8
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","11/219","63/7838",0.174603174603175,6.24903964629992,7.09166028016559,1.08216666860135e-06,4.97796667556622e-05,4.97796667556622e-05,"2939/54578/54575/131/127/218/126/54577/4128/54658/2938",11
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","8/219","33/7838",0.242424242424242,8.67635256676352,7.49158003286617,2.4844087677378e-06,9.5235669429949e-05,9.5235669429949e-05,"131/127/3081/218/6898/126/4128/1644",8
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","9/219","54/7838",0.166666666666667,5.96499238964992,6.20671848052687,1.56879947497596e-05,0.000515462684634958,0.000515462684634958,"2939/4953/2730/2729/2877/5226/2936/2539/2938",9
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","7/219","32/7838",0.21875,7.82905251141552,6.56249766527982,2.2412486951458e-05,0.000644358999854418,0.000644358999854418,"57016/54578/54575/54577/441282/7358/54658",7
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","5/219","14/7838",0.357142857142857,12.7821265492498,7.48033889731266,2.65114605381178e-05,0.000677515102640788,0.000677515102640788,"5053/218/6898/4128/1644",5
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","9/219","59/7838",0.152542372881356,5.45948456001857,5.8290365528117,3.28359294792185e-05,0.000755226378022025,0.000755226378022025,"2939/54578/2052/54575/873/54577/1646/54658/2938",9
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","9/219","61/7838",0.147540983606557,5.28048506624747,5.68983730364101,4.31724729626139e-05,0.000902697161945563,0.000902697161945563,"4051/22949/873/340811/8644/11283/874/8529/8399",9
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","6/219","26/7838",0.230769230769231,8.25922023182297,6.28555343842402,6.40241814745645e-05,0.00122713014492915,0.00122713014492915,"54578/54575/224/54577/7358/54658",6
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","7/219","38/7838",0.184210526315789,6.59288632540255,5.85906725790925,7.28636894873193e-05,0.00128912681400642,0.00128912681400642,"1141/1137/55879/200959/2562/2555/2554",7
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","8/219","61/7838",0.131147540983607,4.69376450333109,4.90993864869219,0.000268827203929314,0.00441644692169587,0.00441644692169587,"54578/54575/131/127/216/126/54577/54658",8
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","12/219","148/7838",0.0810810810810811,2.90188818955942,3.96004994478003,0.000861011788350308,0.0132021807547047,0.0132021807547047,"54578/250/54575/2730/2729/251/224/8942/54577/7358/1728/54658",12
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/219","17/7838",0.235294117647059,8.4211657265646,5.19294164092002,0.00105976305740485,0.0152340939501947,0.0152340939501947,"1373/763/767/771",4
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","6/219","47/7838",0.127659574468085,4.56893034100845,4.16043165626602,0.00183124130906453,0.0247756177108731,0.0247756177108731,"654/3283/340811/1583/8644/1081",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","13/219","189/7838",0.0687830687830688,2.46174289096664,3.44863757674844,0.00239379528806707,0.0305873842364126,0.0305873842364126,"6870/1141/1137/11255/55879/200959/152/9177/2562/2555/2786/2554/6863",13
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","4/219","22/7838",0.181818181818182,6.50726442507264,4.38533715146656,0.00291925149870392,0.0353383076158896,0.0353383076158896,"224/218/4128/3034",4
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","8/219","88/7838",0.0909090909090909,3.25363221253632,3.60430488537567,0.00308156693419012,0.0354380197431864,0.0354380197431864,"55879/200959/3760/2562/2555/2786/5144/2554",8
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","7/219","74/7838",0.0945945945945946,3.38553622115266,3.49548228634542,0.00444332072373698,0.0486649412599765,0.0486649412599765,"2939/54578/54575/1066/54577/54658/2938",7
